"name2","address2","city2","zip2"
"BONGIORNOS PIZZERIA","2294 MAYPORT RD STE 2","ATLANTIC BEACH","32233"
"MAGIC OYSTER BAR AND GRILL","10999 S OCEAN DR","JENSEN BEACH","34957"
"SUNRISE CITY CAFÃ LLC","204 ORANGE AVE","FORT PIERCE","34950"
"SUBWAY RESTAURANT","2001 EAST HILLSBOROUGH AVE","TAMPA","33610"
"APOPKA GOLF & TENNIS AT ERROL ESTATE","1355 ERROL PKWY","APOPKA","32712"
"BEASTRO","4902 W SLIGH AVE","TAMPA","33634"
"ANGELOS ITALIAN MARKET","850 PINEBROOK RD","VENICE","34285"
"PICKIN PARLOUR CAFE","11211 SE 178 PL","SUMMERFIELD","34491"
"BOCCA LUPO COAL FIRED PIZZA","4301 AIDEN LANE","NORTH PORT","34287"
"ROCCOS AT THE SUMMIT","1201 S OCEAN DR","HOLLYWOOD","33019"
"HOUSE OF KABOB","3153 W HALLANDALE BEACH BLVD","HALLANDALE BEACH","33009"
"EAGLE MARSH GOLF CLUB","3869 NW ROYAL OAK DRIVE","JENSEN BEACH","34957"
"THE EGG FACTORY FAMILY CAFE","1533 S COMBEE RD","LAKELAND","33801"
"JERSEY MIKES SUBS 13017","8903 GLADES RD G14","BOCA RATON","33434"
"THE KOOKABURRA","1835 US HWY 1 S STE 133 135","SAINT AUGUSTINE","32084"
"LA MARIMBA","1602 SE FEDERAL HWY","STUART","34994"
"WENDYS INTERNATIONAL LLC","1475 N UNIVERSITY DR","CORAL SPRINGS","33071"
"JERK HUT JAMAICA TROPICALE ISLAND GRILLE & REGGAE BAR","511 N FRANKLIN ST","TAMPA","33602"
"JOEY PALERMOS PIZZERIA & SPORTS PUB","3440 HARBOR CITY BLVD","MELBOURNE","32935"
"SUBWAY 23812","24830 S TAMIAMI TRL 1600","BONITA SPRINGS","34134"
"BIONDOS PIZZA","606 S FEDERAL HWY","DEERFIELD BEACH","33441"
"HAMPTON STATION","5921 N NEBRASKA AVE","TAMPA","33604"
"TACO PLUS","15227 SW MADISON AVE","INDIANTOWN","34956"
"THAI THAI II","2324 N A1A","INDIALANTIC","32903"
"SABOR A PERU","2927 BICAYNE BLVD","MIAMI","33137"
"SHANKISHI RESTAURANT","11275 US HWY 98 WEST 4","MIRAMAR BEACH","32550"
"ARGENTINIAN BAKERY","3590 N US HWY 1792 SUITE 1026","LAKE MARY","32746"
"PANERA BREAD","2670 W US 90","LAKE CITY","32055"
"THE ORGANIC ANCHOR CO","2121 US HWY 1 STE 28","SAINT AUGUSTINE","32086"
"EL CHEF RAMON","9610 SW 8 STREET","MIAMI","33174"
"JCS CAFÃ","2629 E 15TH ST","PANAMA CITY","32405"
"THE FISH","436 12TH ST W","BRADENTON","34205"
"CEVICHE ARIGATO","1447 10TH STREET SUITE B","LAKE PARK","33403"
"DAYS INN & SUITES","7450 OCEAN TER","MIAMI BEACH","33141"
"LIGHTHOUSE RESTAURANT","7600 N US 19","FANNING SPRINGS","32693"
"EL CUBANITO SUBS 1","2301 FORSYTH RD","WINTER PARK","32792"
"ASIAN BUFFET & GRILL","240 S FEDERAL HWY","DEERFIELD BEACH","33441"
"MANALAPAN ITALIAN CUISINE","244 S OCEAN BLVD","MANALAPAN","33462"
"POLLO TROPICAL","1277 SW 8 ST","MIAMI","33135"
"BELLA CAFÃ AMALFI","6703 14TH ST W","BRADENTON","34207"
"SABOR PUERTO RICAN LATIN CUISINE","777 DELTONA BLVD STE 8","DELTONA","32725"
"MCDONALDS 6908","10013 SUNSET STRIP","SUNRISE","33322"
"FRENCH TABLE","103 GULF DR STE A","BRADENTON BEACH","34217"
"LITTLE PHILLIES","190 A1A STE A","SATELLITE BEACH","32937"
"FRITANGA CANA BRAVA 3 CORP","2795 NW 7 ST","MIAMI","33125"
"LA CEIBA RESTAURANT CAFE CORP","6212 SW 8 ST","MIAMI","33144"
"FARMER MIKES PRODUCE INC","26031 MORTON AVE","BONITA SPRINGS","34135"
"BURGER FLORIDA GROUP LLC","8201 S TAMIAMI TRL FC 5","SARASOTA","34238"
"GEORGE ARTISAN BAKERY & BISTRO","1124 W GARDEN ST","PENSACOLA","32505"
"SHAKE SHACK","8359 INTERNATIONAL DR","ORLANDO","32819"
"EDISON RESTAURANT","470 SUWANNEE ST","TALLAHASSEE","32399"
"KOIZI","4120 LITTLE RD","NEW PORT RICHEY","34655"
"DUNKIN DONUTS","3467 NE 163RD ST","NORTH MIAMI BEACH","33160"
"EJ RELAX TAKEOUT RESTAURANT","1886 40 TER SW","NAPLES","34116"
"JUIC E","430 DUVAL ST","KEY WEST","33040"
"EMPLOYEE DINING ROOM","430 DUVAL ST","KEY WEST","33040"
"POOL BAR & GRILL","430 DUVAL ST","KEY WEST","33040"
"430 DUVAL & WINE O","430 DUVAL ST","KEY WEST","33040"
"TACOS EL CHUSCO II","40 PAVILION DR","QUINCY","32351"
"SUKIS","3280 SUNTREE BLVD 105","MELBOURNE","32940"
"ARLINES CATERING","16650 NW 27 AVE 300","MIAMI GARDENS","33054"
"MARIOS RAPID FOOD","3042 NW 13TH ST","MIAMI","33125"
"ST ANDREW COFFEE HOUSE & BISTRO","1006 BECK AVE","PANAMA CITY","32401"
"ALLSTAR VENDING/BUDWEISER METAL CONTAINER","1100 N ELLIS ROAD","JACKSONVILLE","32254"
"EL CRIOLLO GRILL","4514 WIMBELTON CT","TALLAHASSEE","32303"
"DRAGON PHOENIX USA INC","9621 BAY PINES BLVD","ST. PETERSBURG","33708"
"SEACOAST BEACH CLUB","5101 COLLINS AVE","MIAMI BEACH","33140"
"LOS PARCEROS COLOMBIAN CUISINE","106 N OLIVE AVE","WEST PALM BEACH","33401"
"YOYITO CAFE RESTAURANT OF MIAMI","8190 SW 8 ST 101","MIAMI","33144"
"FUSHIMI SUSHI","1786 BLANDING BLVD 13","MIDDLEBURG","32068"
"NERVOUS NELLIES","1131 1 ST","FORT MYERS BEACH","33931"
"CINEMA KEY WEST 6","3338 N ROOSEVELT BLVD","KEY WEST","33040"
"LA TAVOLA","960 WINTERBERRY DR","MARCO ISLAND","34145"
"UNCLE MADDIOS PIZZA JOINT","15750 PANAMA CITY BEACH PKWY 180","PANAMA CITY BEACH","32413"
"NESSA EVENT PLANNING","2640 KUNZE AVE","ORLANDO","32806"
"OUTBACK STEAKHOUSE","3760 SW ARCHER RD","GAINESVILLE","32608"
"GOURMEZZA INVESTMENTS LLC","2059 W 62ND ST","HIALEAH","33016"
"EL CASTILLO","9735 OLD ST AUGUSTINE RD STE18&19","JACKSONVILLE","32257"
"U ROLL SUSHI","7685 E COLONIAL DR","ORLANDO","32807"
"KELLYS DELI & DOGS LLC","425 NORTH DR","MELBOURNE","32935"
"MAWMAWS KITHCEN","14340 BONEY RD","JACKSONVILLE","32226"
"JOES DINER","2209 SOPCHOPPY HWY","SOPCHOPPY","32358"
"BRICKS BBQ","39 S BENEVA RD","SARASOTA","34232"
"TEAM OINK INC","1266 S HIGHLAND AVE","CLEARWATER","33756"
"REGENCY HEALTH RESORT","101 N OCEAN DR 210","HOLLYWOOD","33019"
"CHINA EXPRESS","5500 S SR 7 STE 100","LAKE WORTH","33449"
"SUSHI YAMA","330 CLEMATIS ST 107","WEST PALM BEACH","33401"
"BOGGY CREEK RESORT & RV PARK","3705 BIG BASS RD","KISSIMMEE","34744"
"WALKYS RESTAURANT CAFETERIA PIZZAS & HELADERIA","1570 W 43 PL 20 21","HIALEAH","33012"
"AMELIA TAVERN RESTAURANT & BREW PUB","318 CENTRE STREET","FERNANDINA BEACH","32034"
"TACOS RICOS Y MUNCHO MAS","211 PRESERVE CT","ROYAL PALM BEACH","33411"
"SCHNEBLY REDLANDS WINERY","30205 SW 217 AVE","HOMESTEAD","33030"
"SUBWAY 37107","10900 SR 54 102","NEW PORT RICHEY","34655"
"CATERING M & M CHEFS","387 NE 167 ST","NORTH MIAMI BEACH","33162"
"ZEINS","2091 N HIGHLAND AVE","CLEARWATER","33755"
"EL CIELO RESTAURANT BY JUAN MANUEL BARRIENTOS","31 SE 5TH ST","MIAMI","33131"
"HOOTERS OF SOUTH LAKELAND","3437 S FLORIDA AVE","LAKELAND","33803"
"MUSTANG FOODS","7801 PARK BLVD","PINELLAS PARK","33781"
"DIANAS BAKERY AND CAFE","12001 AVALON LAKE DR UNIT G","ORLANDO","32828"
"RADICAL RATIONS CATERING LLC","6561 TAYLOR RD STE 6","NAPLES","34109"
"PI BON GOU","2551 N DIXIE HWY","POMPANO BEACH","33064"
"MI PUEBLO TAQUERIA MEXICAN GRILL LLC","1100 S PARROTT AVE","OKEECHOBEE","34974"
"ISLAND ICES","6406 MALONEY AVE","KEY WEST","33040"
"SONIC OF BRADENTON","6008 14TH STREET WEST","BRADENTON","34207"
"REDSAUCE","1000 CANAL ST","THE VILLAGES","32162"
"MISTER BLOCK","2621 NW 2ND AVE SPACE 22","MIAMI","33127"
"BURBOWL JUICY SMASHED BURGERS","117 SE 3 AVE","MIAMI","33131"
"PINE LAKES GOLF CLUB","400 PINE LAKES PKWY","PALM COAST","32164"
"RL PROFESSIONAL CATERING INC","14395 SW 139 CT BAY 102","MIAMI","33186"
"LAS VILLAS COFFEE CHOP","716 WEST 29 ST","HIALEAH","33012"
"MOES EXPRESS 2 INC","10544 10546 SW 8 ST","MIAMI","33174"
"WATERFRONT BREWERY","201 WILLIAM STREET SUITE A","KEY WEST","33040"
"BURGER KING 2847","16700 NW 67 AVE","HIALEAH","33015"
"BURGER KING 68","7871 PINES BLVD","PEMBROKE PINES","33024"
"WOOGIE & BIBI HOT DOGS","2517 NW 21 TER","MIAMI","33142"
"FAST FOOD SERVICES BY SERGIOS INC","9300 NW 77 AVE","HIALEAH GARDENS","33016"
"FOX DEN WINERY & CELLAR","109 W MAIN ST","INVERNESS","34450"
"MOJO HOGTOWN BBQ","12 SE 2 AVE","GAINESVILLE","32601"
"MANGOS CUBAN CAFE","1568 LAKE VIEW DR","SEBRING","33870"
"LARRYS GIANT SUBS","1509 MARGARET ST","JACKSONVILLE","32204"
"MAGIC CITY PIZZA","7401 CORAL WAY","MIAMI","33155"
"HARD KNOCKS CAFÃ","9400 ATLANTIC BLVD 50","JACKSONVILLE","32225"
"MO BAY GRILL","1401 INDIAN RIVER DR","SEBASTIAN","32958"
"CARILLON HOTEL & SPA","6801 COLLINS AVE","MIAMI BEACH","33141"
"CARILLON HOTEL & SPA","6801 COLLINS AVE","MIAMI BEACH","33141"
"CARILLON HOTEL & SPA","6801 COLLINS AVE","MIAMI BEACH","33141"
"CAMELOT YACHT CLUB","114 NARCISSUS AVE","WEST PALM BEACH","33401"
"BARTACO","1601 W SNOW AVE","TAMPA","33606"
"TUMI RESTAURANT","7926 W SAMPLE RD","MARGATE","33065"
"DUNKIN DONUTS","9991 BAY PINES BLVD","ST. PETERSBURG","33708"
"SUB ISLAND","456 FAIRVILLA RD","ORLANDO","32808"
"OVATION BISTRO & BAR","42605 US 27","DAVENPORT","33837"
"MCDONALDS 7482","9121 LITTLE RD","NEW PORT RICHEY","34654"
"MCDONALDS 6719","2420 LAND O LAKES BLVD","LAND O' LAKES","34639"
"MCDONALDS 31477","16250 SR 54","ODESSA","33556"
"MCDONALDS 10846","9441 SR 52","HUDSON","34667"
"MCDONALDS 13061","106 CRYSTAL GROVE BLVD","LUTZ","33548"
"MCDONALDS 21597","8937 RANCHO DEL RIO DR","NEW PORT RICHEY","34655"
"MCDONALDS 36175","11367 RIDGE RD","NEW PORT RICHEY","34654"
"MCDONALDS 7209","7226 SR 54","NEW PORT RICHEY","34653"
"BAR LOUIE","4443 LYONS RD STE D101","COCONUT CREEK","33073"
"MCDONALDS 26706","8527 US 19","PORT RICHEY","34668"
"FAIRFIELD INN & SUITES HOLIDAY TARPON SPRINGS","3060 US 19","HOLIDAY","34691"
"SERAFINA WATERFRONT TRATTORIA","926 NE 20 AVE","FORT LAUDERDALE","33304"
"LITTLE CAESARS","13740 BEACH BLVD 111","JACKSONVILLE","32224"
"RICKREYS PERUVIAN FUSION CORP","2517 NW 21 TER","MIAMI","33142"
"BASELINE BISTRO","170 47 AVE NE","ST. PETERSBURG","33703"
"YOGEN FRUZ","19501 BISCAYNE BLVD 789","AVENTURA","33180"
"LA QUINTA INN & SUITES CLEARWATER CENTRAL","21338 US 19 N","CLEARWATER","33765"
"EL JALAPENO","7164 COLONY CLUB DR 105","LAKE WORTH","33463"
"CHICK FIL A AT BUTLER POINTE PLAZA","7147 PHILIPS HWY","JACKSONVILLE","32256"
"LINDYS CHICKEN @LAKE JACKSON","3818 N MONROE ST SUITE 1","TALLAHASSEE","32303"
"LANDYS RESTAURANT","1400 AQUA VIEW LN","ENGLEWOOD","34223"
"COMER WOODFORD HOSPITALITY","6652 COUNTY HIGHWAY 30A STE 200","ROSEMARY BEACH","32461"
"HAAGEN DAZS","40 SOUTH POINTE DR 101","MIAMI BEACH","33139"
"NUMERO 28 PIZZERIA","432 ESPANOLA WAY","MIAMI BEACH","33139"
"HIBACHI EXPRESS","1181 SE PORT ST LUCIE BLVD","PORT ST LUCIE","34952"
"NIGHTOWL CARIBBEAN CUISINE","929 S BAY ST","EUSTIS","32726"
"VINNIES OLD FASHION DOG HOUSE","1428 N FEDERAL HWY","HOLLYWOOD","33020"
"MELLOW MUSHROOM PIZZA BAKERS","15170 MAX LEGGET PARKWAY","JACKSONVILLE","32218"
"ASIAN NOODLE","6448 COUNTRY FAIR CIRCLE","BOYNTON BEACH","33437"
"MIREILLE HAITIAN & AMERICAN RESTAURANT","493 GOODLETTE RD N","NAPLES","34102"
"CHIPOTLE MEXICAN GRILL 2465","18019 HIGHWOODS PRESERVE PKWY","TAMPA","33647"
"TIJUANA FLATS","1371 SOUTH UNIVERSITY DRIVE","PLANTATION","33324"
"LEVEL 11 ROOFTOP LOUNGE AT THE GRAND PLAZA","5250 GULF BLVD","ST.PETE BEACH","33706"
"LA ROCKOLA MIAMI","6854 NW 169 ST","HIALEAH","33015"
"FRESH JUICE KING CORP","1613 NE 123 ST","NORTH MIAMI","33181"
"TROPIC SHORES CONDOMINIUM ASSOC OF VOLUSIA CO","3111 S ATLANTIC AVE","DAYTONA BEACH SHORES","32118"
"UNITED TACO FACTORY","32 E CYPRESS ST","WINTER GARDEN","34787"
"LITTLE CAESARS","11000 BEACH BLVD 207","JACKSONVILLE","32246"
"LUIS GALINDO LATIN AMERICAN 3","9606 SW 72 ST","MIAMI","33173"
"ALEGRIA SUPERMARKET","140 SW 16 AVE","MIAMI","33135"
"MCK FUSION","1375 LYONS RD","COCONUT CREEK","33063"
"THE LAST WALTZ DONUTS","3000 22 AVE N","ST. PETERSBURG","33713"
"PLEASURE PALATE RESTAURANT ORL","436 S PARRAMORE AVE STE B","ORLANDO","32805"
"DULCET RESTAURANT & LOUNGE","6220 GRAND BLVD","NEW PORT RICHEY","34652"
"ADCMKNAPP ENTERPRISES","5983 CRABTREE CHURCH ROAD","MOLINO","32577"
"PRESSED FOR TIME CAFE","505 W MAIN STREET","TAVARES","32778"
"VENZKE YOGURT CORPORATION","11701 LK VICTORIA GARDENS AVE 7101","PALM BEACH GARDENS","33410"
"OB HILLS LLC","1542 WATER TOWER CIR","LADY LAKE","32159"
"CHICK FIL A MIDDLEBURG","1710 BLANDING BLVD","MIDDLEBURG","32068"
"GOLDEN DRAGON","9914 NAVARRE PKWY","NAVARRE","32566"
"NATURE BABY","4301 COCONUT CREEK LN STE D","COCONUT CREEK","33066"
"LUCIO MORALES","1059 MOHAWK AVE","LABELLE","33935"
"PUG MAHONES GRILL","926 W THARPE ST  7","TALLAHASSEE","32303"
"CULVERS","8792 NAVARRE PKWY","NAVARRE","32566"
"THE METRO DINER","1000 S PONCE DELEON BLVD SUITE 15","SAINT AUGUSTINE","32084"
"THE WHITE HORSE PUB","6240 N LOCKWOOD RIDGE RD","SARASOTA","34243"
"ROYAL CELEBRATION BREAKFAST","4944 W IRLO BRONSON MEMORIAL HWY","KISSIMMEE","34746"
"THE PERFECT PIG","7 TOWN CENTER LOOP STE C11","SANTA ROSA BEACH","32459"
"JAZOMA","1601 SW 20 ST","FORT LAUDERDALE","33315"
"RESTAURANT IRON","22 N PALAFOX STREET","PENSACOLA","32502"
"UNION CAFETERIA","12496 NW 25 ST","MIAMI","33182"
"THE WOODS JUPITER","129 SOUNDINGS AVENUE SUITE 3 110","JUPITER","33477"
"WATERFALLS","6455 W COMMERCIAL BLVD","TAMARAC","33319"
"TROYS","3720 CURTIS BLVD 110","PORT ST JOHN","32927"
"SEAFOOD AND CRABS STORE","3600 NW 183 ST","MIAMI GARDENS","33056"
"INN ON DESTIN HARBOR","402 HARBOR BLVD","DESTIN","32541"
"PIE TOPIA","5226 N 4TH ST","ST. PETERSBURG","33703"
"SPRINGHILL SUITES BY MARRIOTT","487 CREIGHTON RD","PENSACOLA","32504"
"VIDAL GONZALEZ CAFETERIA 3","14601 NW 185 ST 12","HIALEAH","33018"
"CHICK FIL A @ ARCHER ROAD","3621 SW ARCHER RD","GAINESVILLE","32608"
"NIPA HUT","1659 ST JOHNS BLUFF RD S","JACKSONVILLE","32246"
"CHINA WOK","1491 E SR 434 105","WINTER SPRINGS","32708"
"CARROT EXPRESS","1755 ALTON RD","MIAMI BEACH","33139"
"CHICK FIL A AT OAKLEAF","9630 APPLECROSS RD","JACKSONVILLE","32222"
"OLDE HEIGHTS BISTRO","4703 N NEBRASKA AVE","TAMPA","33603"
"COURTYARD BY MARRIOTT NAPLES","3250 US 41 N","NAPLES","34103"
"CHICK FIL A OCALA","3445 SW COLLEGE RD","OCALA","34474"
"EL PRADO CUBAN CAFE LLC","1400 S MAIN ST","BELLE GLADE","33430"
"MIO CAFE INC","10275 COLLINS AVE","BAL HARBOUR","33154"
"MCDONALDS","13690 BISCAYNE DR","HOMESTEAD","33033"
"LUNG YAI THAI TAPAS","1731 SW 8TH STREET","MIAMI","33135"
"HUNGRY HOWIES 235","2262 ALOMA AVE","WINTER PARK","32792"
"GOLDEN STAR II","1660 S CONGRESS AVE 6","BOYNTON BEACH","33426"
"TWIN PEAKS RESTAURANT","16411 CORPORATE COMMERCE WAY","FORT MYERS","33913"
"COURTYARD BY MARRIOTT","10050 GULF CENTER DR","FORT MYERS","33913"
"WAFFLE HOUSE","8514 BAYMEADOWS RD","JACKSONVILLE","32256"
"PAPA MURPHYS OF VENICE","13159 US 301 S","RIVERVIEW","33578"
"SNACKWAM","6300 GULF BLVD","ST.PETE BEACH","33706"
"CHICK FIL A","11401 PINES BLVD 466","PEMBROKE PINES","33026"
"TEMAKERIA MAKIS PLACE","528 S PARK AVE","WINTER PARK","32789"
"BENDITO PAN RESTAURANT","11865 SW 26 ST STE B12","MIAMI","33175"
"NELLS KITCHEN","3165 GUAVA ST","FORT MYERS","33916"
"NYC SANDWICH COMPANY LLC","1380 S POWERLINE RD","DEERFIELD BEACH","33442"
"SUBWAY 468","9301 4 ST N","ST. PETERSBURG","33702"
"SUBWAY 336","3355 5 AVE N","ST. PETERSBURG","33713"
"PIZZA PASTA ICE CREAM INC","9459 NW 137TH AVE","OCALA","34482"
"CHARLIES SOUTHERN FRIED CHICKEN","665 E UNIVERSITY BLVD","MELBOURNE","32901"
"FELIPES MEXICAN TAQUERIA","4255 9 ST N","NAPLES","34103"
"SPORK A LOCAL EATERY","226 RACETRACK RD NE STE B","FORT WALTON BEACH","32547"
"CHICK FIL A AT KIRKMAN & CONROY RD","4752 S KIRKMAN RD","ORLANDO","32811"
"HOT N SPICY CORPORATION","3824 S JOG RD","GREENACRES","33463"
"WILLARDS BBQ JUNCTION","125 CENTER PLACE WAY STE 102","SAINT AUGUSTINE","32095"
"SCARLETTS ST AUGGY & DOS GATOS ST AUGGY","70 HYPOLITA ST","SAINT AUGUSTINE","32084"
"BLAZE PIZZA","215 N CATTLEMAN RD UNIT 60","SARASOTA","34243"
"GRUB BURGER BAR","3425 THOMASVILLE RD SUITE 21","TALLAHASSEE","32309"
"ZOES KITCHEN 268","5100 N 9 AVE 501","PENSACOLA","32504"
"DOMINOS PIZZA 8635","8100 BISCAYNE BLVD","MIAMI","33138"
"CORKSCREW SHORES MASTERS CAPTAINS CLUB","14690 14700 CORKSCREW WOOD PKWY","ESTERO","33928"
"JR COLOMBIAN BURGER","11875 E COLONIAL DR","ORLANDO","32826"
"STARBUCKS","430 DUVAL ST","KEY WEST","33040"
"BELUGA CAVIAR BAR","19501 BISCAYNE BLVD SPACE K2000 AVENTURA MALL","AVENTURA","33180"
"JAO THAI KITCHEN","914 W NEW HAVEN AVE","MELBOURNE","32901"
"TONYS CHICAGO BEEF COMPANY NORTH SIDE","2117 SIESTA DR","SARASOTA","34239"
"MILLERS ALE HOUSE","8963 INTERNATIONAL DR","ORLANDO","32819"
"CHICK FIL A AT ST JOHNS TOWN CENTER","4625 TOWN CENTER PKWY","JACKSONVILLE","32246"
"MANATEE ISLAND BAR & GRILL","1640 SEAWAY DR","FORT PIERCE","34949"
"MARCOS PIZZA","209 N MAGNOLIA DR 2","TALLAHASSEE","32301"
"MARCOS PIZZA","6668 11 THOMASVILLE RD","TALLAHASSEE","32312"
"SIP RESTAURANT AND JAZZ","707 W MAIN ST","LEESBURG","34748"
"OLIMA SIGNATURE CUISINE","1052 1054 KANE CONCOURSE","BAY HARBOR ISLANDS","33154"
"THE LOVING CUP HASH HOUSE","610 3 ST S","JACKSONVILLE BEACH","32250"
"LITTLE BELLAS STEAK SANDWICH & OLD ITALIAN KITCHEN","5226 S SR 7","HOLLYWOOD","33314"
"NAPLES GRANDE GOLF CLUB","7335 PREMIER DRIVE","NAPLES","34105"
"FEFAS CAFÃ","8720 N KENDALL DR STE 111","MIAMI","33176"
"HUMMUS NO 1","3012 N 9 AVE","PENSACOLA","32503"
"COUSINS MAINE LOBSTER","9205 SWEET MAPLE AVE","ORLANDO","32832"
"BOATHOUSE KITCHEN & BAR","6300 GULF BLVD","ST.PETE BEACH","33706"
"APPLEBEES NEIGHBORHOOD GRILL & BAR","7441 WEST NEWBERRY ROAD","GAINESVILLE","32605"
"REGAL PALACE BANQUET HALL","7590 NW 186 STREET 201","MIAMI","33015"
"DEEDEES DOWNTOWN DINER","126 W MAIN ST","LAKELAND","33815"
"4D GELATERIA","140 UNIVERSITY TOWN CENTER STE 175","SARASOTA","34243"
"MAGIC KINGDOM DISC BUILDING","5601 CENTER DR","LAKE BUENA VISTA","32830"
"CARRABBAS ITALIAN GRILL","1751 S TAMIAMI TRAIL","VENICE","34293"
"CARIBBEAN FLAIR INTERNATIONAL GRILL","2301 ESTERO BLVD","FORT MYERS BEACH","33931"
"BLU MANGROVE GRILL","102 RIVIERA DUNES WAY","PALMETTO","34221"
"CARIBBEAN CIRCLE GRILL N TINGZ","1309 N UNIVERSITY DR","CORAL SPRINGS","33071"
"ZAILYS HOT DOGS","2517 NW 21 TER","MIAMI","33142"
"DELICIOUS LATINO","504 N SR 7","HOLLYWOOD","33021"
"RINCONCITO PAISA  3","15148 SW 72 ST","MIAMI","33193"
"THAI KORNER","1280 PALM COAST PKWY SW","PALM COAST","32137"
"SUBWAY","300 UNO LAGO DR 202","JUNO BEACH","33408"
"CHICK FIL A AT ESTERO","21900 S TAMIAMI TRL","ESTERO","33928"
"FCB ENTERPRISES INC","12440 WEST ATLANTIC BLVD","CORAL SPRINGS","33071"
"SSM SWEET SHOP","5656 E SILVER SPRINGS BLVD","SILVER SPRINGS","34488"
"DELILAHS","3003 N UNIVERSITY DR","SUNRISE","33322"
"TRAVELODGE","4011 N OCEAN BLVD","FORT LAUDERDALE","33308"
"LEGENDS SOUTH 4","601 SANSBURYS WAY 7","WEST PALM BEACH","33411"
"LEGENDS SOUTH 3","601 SANSBURYS WAY 7","WEST PALM BEACH","33411"
"LEGENDS SOUTH MAIN","601 SANSBURYS WAY 7","WEST PALM BEACH","33411"
"WOM EXPRESS LLC","711 S OSPREY AVE 3","SARASOTA","34236"
"MIDFLORIDA CREDIT UNION AMPHITHEATER AT THE FL STATE FAIR EAST","4802 US 301 N","TAMPA","33610"
"MIDFLORIDA CREDIT UNION AMPHITHEATER AT THE FL STATE FAIR WEST","4802 US 301 N","TAMPA","33610"
"LEGENDS NORTH 3","601 SANSBURYS WAY 7","WEST PALM BEACH","33411"
"MARCELAS KITCHEN","3700 N WICKHAM RD","MELBOURNE","32935"
"LEGENDS NORTH MAIN","601 SANSBURYS WAY 7","WEST PALM BEACH","33411"
